First Name,Last Name,Full Name,Sex,Season,Age,Placement,Starting Tribe,Difficulty
Sonja,Christopher,Sonja Christopher,F,1,63,16,Orange,M
B.B.,Andersen,B.B. Andersen,M,1,64,15,Yellow,M
Stacey,Stillman,Stacey Stillman,F,1,27,14,Orange,H
Ramona,Gray,Ramona Gray,F,1,28,13,Yellow,H
Dirk,Been,Dirk Been,M,1,23,12,Orange,H
Joel,Klug,Joel Klug,M,1,27,11,Yellow,H
Gretchen,Cordy,Gretchen Cordy,F,1,38,10,Yellow,H
Greg,Buis,Greg Buis,M,1,24,9,Yellow,H
Jenna,Lewis,Jenna Lewis,F,1,22,8,Yellow,M
Gervase,Peterson,Gervase Peterson,M,1,30,7,Yellow,E
Colleen,Haskell,Colleen Haskell,F,1,23,6,Yellow,M
Sean,Kenniff,Sean Kenniff,M,1,30,5,Orange,M
Susan,Hawk,Susan Hawk,F,1,38,4,Orange,E
Rudy,Boesch,Rudy Boesch,M,1,72,3,Orange,E
Kelly,Wiglesworth,Kelly Wiglesworth,F,1,22,2,Orange,E
Richard,Hatch,Richard Hatch,M,1,39,1,Orange,E
Debb,Eaton,Debb Eaton,F,2,45,16,Blue,H
Kel,Gleason,Kel Gleason,M,2,32,15,Green,H
Maralyn,Hershey,Maralyn Hershey,F,2,51,14,Green,H
Mitchell,Olson,Mitchell Olson,M,2,23,13,Green,H
Kimmi,Kappenberg,Kimmi Kappenberg,F,2,28,12,Blue,H
Michael,Skupin,Michael Skupin,M,2,38,11,Blue,E
Jeff,Varner,Jeff Varner,M,2,34,10,Blue,E
Alicia,Calaway,Alicia Calaway,F,2,32,9,Blue,E
Jerri,Manthey,Jerri Manthey,F,2,30,8,Green,E
Nick,Brown,Nick Brown,M,2,23,7,Blue,M
Amber,Brkich,Amber Brkich,F,2,22,6,Green,E
Roger,Bingham,Roger Bingham,M,2,53,5,Blue,M
Elisabeth,Filarski,Elisabeth Filarski,F,2,23,4,Blue,M
Keith,Famie,Keith Famie,M,2,40,3,Green,M
Colby,Donaldson,Colby Donaldson,M,2,26,2,Green,E
Tina,Wesson,Tina Wesson,F,2,39,1,Green,E
Diane,Ogden,Diane Ogden,F,3,42,16,Yellow,H
Jessie,Camacho,Jessie Camacho,F,3,25,15,Yellow,H
Carl,Bilancione,Carl Bilancione,M,3,46,14,Red,H
Linda,Spencer,Linda Spencer,F,3,44,13,Red,H
Silas,Gaither,Silas Gaither,M,3,22,12,Red,M
Lindsey,Richter,Lindsey Richter,F,3,26,11,Red,H
Clarence,Black,Clarence Black,M,3,24,10,Yellow,M
Kelly,Goldsmith,Kelly Goldsmith,F,3,22,9,Yellow,M
Brandon,Quinton,Brandon Quinton,M,3,25,8,Red,H
Frank,Garrison,Frank Garrison,M,3,43,7,Red,M
Kim,Powers,Kim Powers,F,3,29,6,Red,M
Teresa,Cooper,Teresa Cooper,F,3,42,5,Red,E
Tom,Buchanan,Tom Buchanan,M,3,45,4,Yellow,E
Lex,van den Berghe,Lex van den Berghe,M,3,38,3,Yellow,E
Kim,Johnson,Kim Johnson,F,3,56,2,Yellow,E
Ethan,Zohn,Ethan Zohn,M,3,27,1,Yellow,E
Peter,Harkey,Peter Harkey,M,4,45,16,Yellow,H
Patricia,Jackson,Patricia Jackson,F,4,49,15,Yellow,H
Hunter,Ellis,Hunter Ellis,M,4,33,14,Yellow,H
Sarah,Jones,Sarah Jones,F,4,24,13,Yellow,H
Gabriel,Cade,Gabriel Cade,M,4,23,12,Green,H
Gina,Crews,Gina Crews,F,4,28,11,Yellow,H
Rob,Mariano,Rob Mariano,M,4,25,10,Yellow,E
John,Carroll,John Carroll,M,4,36,9,Green,M
Zoe,Zanidakis,Zoe Zanidakis,F,4,35,8,Green,M
Tammy,Leitner,Tammy Leitner,F,4,29,7,Green,M
Robert,DeCanio,Robert DeCanio,M,4,38,6,Green,M
Sean,Rector,Sean Rector,M,4,30,5,Yellow,M
Paschal,English,Paschal English,M,4,56,4,Green,E
Kathy,Vavrick-O'Brien,Kathy Vavrick-O'Brien,F,4,46,3,Green,E
Neleh,Dennis,Neleh Dennis,F,4,21,2,Green,E
Vecepia,Towery,Vecepia Towery,F,4,36,1,Yellow,E
John,Raymond,John Raymond,M,5,40,16,Red,H
Tanya,Vance,Tanya Vance,F,5,27,15,Red,H
Jed,Hildebrand,Jed Hildebrand,M,5,25,14,Purple,H
Ghandia,Johnson,Ghandia Johnson,F,5,33,13,Red,H
Stephanie,Dill,Stephanie Dill,F,5,29,12,Purple,H
Robb,Zbacnik,Robb Zbacnik,M,5,23,11,Purple,H
Shii,Ann Huang,Shii Ann Huang,F,5,28,10,Purple,E
Erin,Collins,Erin Collins,F,5,26,9,Purple,M
Ken,Stafford,Ken Stafford,M,5,30,8,Purple,M
Penny,Ramsey,Penny Ramsey,F,5,27,7,Purple,M
Jake,Billingsley,Jake Billingsley,M,5,60,6,Purple,M
Ted,Rogers Jr.,Ted Rogers Jr.,M,5,37,5,Red,M
Helen,Glover,Helen Glover,F,5,47,4,Red,M
Jan,Gentry,Jan Gentry,F,5,53,3,Red,M
Clay,Jordan,Clay Jordan,M,5,46,2,Red,E
Brian,Heidik,Brian Heidik,M,5,34,1,Red,E
Ryan,Aiken,Ryan Aiken,M,6,23,16,Blue,H
Janet,Koth,Janet Koth,F,6,46,15,Yellow,H
Daniel,Lue,Daniel Lue,M,6,26,14,Blue,H
Joanna,Ward,Joanna Ward,F,6,31,13,Yellow,H
Jeanne,Hebert,Jeanne Hebert,F,6,40,12,Yellow,H
Shawna,Mitchell,Shawna Mitchell,F,6,23,11,Yellow,H
Roger,Sexton,Roger Sexton,M,6,56,10,Blue,M
Dave,Johnson,Dave Johnson,M,6,23,9,Blue,M
Deena,Bennett,Deena Bennett,F,6,35,8,Yellow,M
Alex,Bell,Alex Bell,M,6,32,7,Blue,M
Christy,Smith,Christy Smith,F,6,24,6,Yellow,M
Heidi,Strobel,Heidi Strobel,F,6,24,5,Yellow,E
Butch,Lockley,Butch Lockley,M,6,50,4,Blue,E
Rob,Cesternino,Rob Cesternino,M,6,24,3,Blue,E
Matthew,von Ertfelda,Matthew von Ertfelda,M,6,33,2,Blue,E
Jenna,Morasca,Jenna Morasca,F,6,21,1,Yellow,E
Nicole,Delma,Nicole Delma,F,7,24,16,Orange,H
Ryan,Shoulders,Ryan Shoulders,M,7,23,15,Orange,H
Michelle,Tesauro,Michelle Tesauro,F,7,22,14,Blue,H
Trish,Dunn,Trish Dunn,F,7,42,13,Blue,H
Shawn,Cohen,Shawn Cohen,M,7,28,12,Blue,H
Osten,Taylor,Osten Taylor,M,7,27,11,Orange,M
Andrew,Savage,Andrew Savage,M,7,39,10,Orange,E
Ryan,Opray,Ryan Opray,M,7,30,9,Orange,H
Rupert,Boneham,Rupert Boneham,M,7,39,8,Blue,E
Tijuana,Bradley,Tijuana Bradley,F,7,26,7,Orange,M
Christa,Hastie,Christa Hastie,F,7,24,6,Blue,M
Burton,Roberts,Burton Roberts,M,7,31,5,Blue,E
Darrah,Johnson,Darrah Johnson,F,7,22,4,Orange,E
Jonny,Fairplay,Jonny Fairplay,M,7,29,3,Blue,E
Lillian,Morris,Lillian Morris,F,7,51,2,Orange,E
Sandra,Diaz-Twine,Sandra Diaz-Twine,F,7,29,1,Blue,E
Tina,Wesson,Tina Wesson,F,8,43,18,Yellow,E
Rudy,Boesch,Rudy Boesch,M,8,76,17,Yellow,E
Jenna,Morasca,Jenna Morasca,F,8,22,16,Green,E
Rob,Cesternino,Rob Cesternino,M,8,25,15,Red,E
Richard,Hatch,Richard Hatch,M,8,42,14,Green,E
Susan,Hawk,Susan Hawk,F,8,42,13,Red,E
Colby,Donaldson,Colby Donaldson,M,8,29,12,Green,E
Ethan,Zohn,Ethan Zohn,M,8,30,11,Yellow,E
Jerri,Manthey,Jerri Manthey,F,8,33,10,Yellow,E
Lex,van den Berghe,Lex van den Berghe,M,8,40,9,Green,E
Kathy,Vavrick-O'Brien,Kathy Vavrick-O'Brien,F,8,49,8,Green,E
Alicia,Calaway,Alicia Calaway,F,8,35,7,Red,E
Shii,Ann Huang,Shii Ann Huang,F,8,30,6,Green,E
Tom,Buchanan,Tom Buchanan,M,8,48,5,Red,E
Rupert,Boneham,Rupert Boneham,M,8,40,4,Yellow,E
Jenna,Lewis,Jenna Lewis,F,8,26,3,Yellow,E
Rob,Mariano,Rob Mariano,M,8,28,2,Red,E
Amber,Brkich,Amber Brkich,F,8,25,1,Red,E
Brook,Geraghty,Brook Geraghty,F,9,27,18,Red,H
Dolly,Neely,Dolly Neely,F,9,25,17,Yellow,H
John,Palyok,John Palyok,M,9,31,16,Red,H
Mia,Galeotalanza,Mia Galeotalanza,F,9,29,15,Yellow,H
Brady,Finta,Brady Finta,M,9,33,14,Red,H
Travis,Sampson,Travis Sampson,M,9,33,13,Red,H
Lisa,Keiffer,Lisa Keiffer,F,9,44,12,Yellow,H
John,Kenney,John Kenney,M,9,22,11,Red,H
Rory,Freeman,Rory Freeman,M,9,35,10,Red,H
Lea,Masters,Lea Masters,M,9,40,9,Red,H
Chad,Crittenden,Chad Crittenden,M,9,34,8,Red,H
Leann,Slaby,Leann Slaby,F,9,35,7,Yellow,H
Ami,Cusack,Ami Cusack,F,9,31,6,Yellow,H
Julie,Berry,Julie Berry,F,9,23,5,Yellow,H
Eliza,Orlins,Eliza Orlins,F,9,21,4,Yellow,E
